External Library Name;Link to License;License Name;Copyright Notice Included (Yes/No);Source Code Included (Yes/No);Counsel LDAP and Authorization Date;repository_type;repository_URL;is_runtime;license_category
parking_lot-0.12.5;https://raw.githubusercontent.com/Amanieu/parking_lot/parking_lot-v0.12.5/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/Amanieu/parking_lot;NOT_KNOWN;notice
parking_lot_core-0.9.12;https://raw.githubusercontent.com/Amanieu/parking_lot/parking_lot_core-v0.9.12/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/Amanieu/parking_lot;NOT_KNOWN;notice
pathdiff-0.1.0;https://raw.githubusercontent.com/Manishearth/pathdiff/master/LICENSE-APACHE;MIT/Apache-2.0;Yes;No;N/A;crates|github;https://github.com/Manishearth/pathdiff;NOT_KNOWN;notice
percent-encoding-2.3.1;https://raw.githubusercontent.com/servo/rust-url/v2.3.1/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/servo/rust-url/;NOT_KNOWN;notice
percent-encoding-2.3.2;https://raw.githubusercontent.com/servo/rust-url/main/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/servo/rust-url/;NOT_KNOWN;notice
pest-2.8.5;https://raw.githubusercontent.com/pest-parser/pest/v2.8.5/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/pest-parser/pest;NOT_KNOWN;notice
pest_derive-2.8.5;https://raw.githubusercontent.com/pest-parser/pest/v2.8.5/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/pest-parser/pest;NOT_KNOWN;notice
pest_generator-2.8.5;https://raw.githubusercontent.com/pest-parser/pest/v2.8.5/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/pest-parser/pest;NOT_KNOWN;notice
pest_meta-2.8.5;https://raw.githubusercontent.com/pest-parser/pest/v2.8.5/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/pest-parser/pest;NOT_KNOWN;notice
petgraph-0.8.3;https://raw.githubusercontent.com/petgraph/petgraph/master/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/petgraph/petgraph;NOT_KNOWN;notice
